Quantify Compound Summary Report 

Printed Fri Nov 01 09:11:15 2013

Compound 1:  buspirone

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
1	1	SP118414_20131030_CYP3A4_Stab_1	Blank buspirone	Analyte		0.85	32867	392925	0.0836	bb		
2	2	SP118414_20131030_CYP3A4_Stab_2	T60 buspirone	Analyte		0.85	3557	245932	0.0145	bb		
3	3	SP118414_20131030_CYP3A4_Stab_3	T30 buspirone	Analyte		0.85	4612	252334	0.0183	bb		
4	4	SP118414_20131030_CYP3A4_Stab_4	T15 buspirone	Analyte		0.84	13367	241648	0.0553	bb		
5	5	SP118414_20131030_CYP3A4_Stab_5	T10 buspirone	Analyte		0.84	39553	241908	0.164	bb		
6	6	SP118414_20131030_CYP3A4_Stab_6	T5 buspirone	Analyte		0.84	126597	229010	0.553	bb		
7	7	SP118414_20131030_CYP3A4_Stab_7	T0 buspirone	Analyte		0.84	755304	308501	2.45	bb		
8	8	SP118414_20131030_CYP3A4_Stab_8	Blank buspirone	Analyte		0.84	9325	223976	0.0416	bb		
9	9	SP118414_20131030_CYP3A4_Stab_9	T60 buspirone	Analyte		0.84	16434	242027	0.0679	bb		
10	10	SP118414_20131030_CYP3A4_Stab_10	T30 buspirone	Analyte		0.84	12931	264752	0.0488	bb		
11	11	SP118414_20131030_CYP3A4_Stab_11	T15 buspirone	Analyte		0.84	42607	249848	0.171	bb		
12	12	SP118414_20131030_CYP3A4_Stab_12	T10 buspirone	Analyte		0.84	115983	226834	0.511	bb		
13	13	SP118414_20131030_CYP3A4_Stab_13	T5 buspirone	Analyte		0.84	309919	241738	1.28	bb		
14	14	SP118414_20131030_CYP3A4_Stab_14	T0 buspirone	Analyte		0.84	1511595	240204	6.29	bb		
15	15	SP118414_20131030_CYP3A4_Stab_15	Blank buspirone	Analyte		0.84	11911	223331	0.0533	bb		
16	16	SP118414_20131030_CYP3A4_Stab_16	T60 buspirone	Analyte		0.84	9037	225047	0.0402	bb		
17	17	SP118414_20131030_CYP3A4_Stab_17	T30 buspirone	Analyte		0.84	7399	228173	0.0324	bb		
18	18	SP118414_20131030_CYP3A4_Stab_18	T15 buspirone	Analyte		0.84	41605	226280	0.184	bb		
19	19	SP118414_20131030_CYP3A4_Stab_19	T10 buspirone	Analyte		0.84	102130	227635	0.449	bb		
20	20	SP118414_20131030_CYP3A4_Stab_20	T5 buspirone	Analyte		0.84	302743	239303	1.27	bb		
21	21	SP118414_20131030_CYP3A4_Stab_21	T0 buspirone	Analyte		0.84	1412109	255430	5.53	bb		
22	22	SP118414_20131030_CYP3A4_Stab_588	Blank buspirone	Analyte		0.84	173	156235	0.00110	bb		
23	23	SP118414_20131030_CYP3A4_Stab_589	T60 buspirone	Analyte		0.84	911	160410	0.00568	bb		
24	24	SP118414_20131030_CYP3A4_Stab_590	T30 buspirone	Analyte		0.84	8011	162937	0.0492	bb		
25	25	SP118414_20131030_CYP3A4_Stab_591	T15 buspirone	Analyte		0.84	70799	158480	0.447	bb		
26	26	SP118414_20131030_CYP3A4_Stab_592	T10 buspirone	Analyte		0.84	191051	168881	1.13	bb		
27	27	SP118414_20131030_CYP3A4_Stab_593	T5 buspirone	Analyte		0.84	477265	150133	3.18	bb		
28	28	SP118414_20131030_CYP3A4_Stab_594	T0 buspirone	Analyte		0.84	1367449	165161	8.28	bb		
29	29	SP118414_20131030_CYP3A4_Stab_595	Blank buspirone	Analyte		0.84	9837	157276	0.0625	bb		
30	30	SP118414_20131030_CYP3A4_Stab_596	T60 buspirone	Analyte		0.84	2786	163438	0.0170	bb		
31	31	SP118414_20131030_CYP3A4_Stab_597	T30 buspirone	Analyte		0.84	4997	162247	0.0308	bb		
32	32	SP118414_20131030_CYP3A4_Stab_598	T15 buspirone	Analyte		0.84	38189	155338	0.246	bb		
33	33	SP118414_20131030_CYP3A4_Stab_599	T10 buspirone	Analyte		0.84	115962	159280	0.728	bb		
34	34	SP118414_20131030_CYP3A4_Stab_600	T5 buspirone	Analyte		0.84	325960	156453	2.08	bb		
35	35	SP118414_20131030_CYP3A4_Stab_601	T0 buspirone	Analyte		0.84	998654	172766	5.78	bb		
36	36	SP118414_20131030_CYP3A4_Stab_602	Blank buspirone	Analyte		0.84	9001	162728	0.0553	bb		
37	37	SP118414_20131030_CYP3A4_Stab_603	T60 buspirone	Analyte		0.84	1991	166831	0.0119	bb		
38	38	SP118414_20131030_CYP3A4_Stab_604	T30 buspirone	Analyte		0.84	6033	189789	0.0318	bb		
39	39	SP118414_20131030_CYP3A4_Stab_605	T15 buspirone	Analyte		0.84	55771	171223	0.326	bb		
40	40	SP118414_20131030_CYP3A4_Stab_606	T10 buspirone	Analyte		0.84	155081	162308	0.955	bb		
41	41	SP118414_20131030_CYP3A4_Stab_607	T5 buspirone	Analyte		0.84	419734	161420	2.60	bb		
42	42	SP118414_20131030_CYP3A4_Stab_608	T0 buspirone	Analyte		0.84	1722311	173299	9.94	bb		

Compound 2:  albendazole

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
1	1	SP118414_20131030_CYP3A4_Stab_1	Blank buspirone	Analyte	1.00	0.95	392925		393000	bb		
2	2	SP118414_20131030_CYP3A4_Stab_2	T60 buspirone	Analyte	1.00	0.95	245932		246000	bb		
3	3	SP118414_20131030_CYP3A4_Stab_3	T30 buspirone	Analyte	1.00	0.95	252334		252000	bb		
4	4	SP118414_20131030_CYP3A4_Stab_4	T15 buspirone	Analyte	1.00	0.95	241648		242000	bb		
5	5	SP118414_20131030_CYP3A4_Stab_5	T10 buspirone	Analyte	1.00	0.95	241908		242000	bb		
6	6	SP118414_20131030_CYP3A4_Stab_6	T5 buspirone	Analyte	1.00	0.95	229010		229000	bb		
7	7	SP118414_20131030_CYP3A4_Stab_7	T0 buspirone	Analyte	1.00	0.95	308501		309000	bb		
8	8	SP118414_20131030_CYP3A4_Stab_8	Blank buspirone	Analyte	1.00	0.95	223976		224000	bb		
9	9	SP118414_20131030_CYP3A4_Stab_9	T60 buspirone	Analyte	1.00	0.95	242027		242000	bb		
10	10	SP118414_20131030_CYP3A4_Stab_10	T30 buspirone	Analyte	1.00	0.95	264752		265000	bb		
11	11	SP118414_20131030_CYP3A4_Stab_11	T15 buspirone	Analyte	1.00	0.95	249848		250000	bb		
12	12	SP118414_20131030_CYP3A4_Stab_12	T10 buspirone	Analyte	1.00	0.95	226834		227000	bb		
13	13	SP118414_20131030_CYP3A4_Stab_13	T5 buspirone	Analyte	1.00	0.95	241738		242000	bb		
14	14	SP118414_20131030_CYP3A4_Stab_14	T0 buspirone	Analyte	1.00	0.95	240204		240000	bb		
15	15	SP118414_20131030_CYP3A4_Stab_15	Blank buspirone	Analyte	1.00	0.95	223331		223000	bb		
16	16	SP118414_20131030_CYP3A4_Stab_16	T60 buspirone	Analyte	1.00	0.95	225047		225000	bb		
17	17	SP118414_20131030_CYP3A4_Stab_17	T30 buspirone	Analyte	1.00	0.95	228173		228000	bb		
18	18	SP118414_20131030_CYP3A4_Stab_18	T15 buspirone	Analyte	1.00	0.95	226280		226000	bb		
19	19	SP118414_20131030_CYP3A4_Stab_19	T10 buspirone	Analyte	1.00	0.95	227635		228000	bb		
20	20	SP118414_20131030_CYP3A4_Stab_20	T5 buspirone	Analyte	1.00	0.96	239303		239000	bb		
21	21	SP118414_20131030_CYP3A4_Stab_21	T0 buspirone	Analyte	1.00	0.95	255430		255000	bb		
22	22	SP118414_20131030_CYP3A4_Stab_588	Blank buspirone	Analyte	1.00	0.95	156235		156000	bb		
23	23	SP118414_20131030_CYP3A4_Stab_589	T60 buspirone	Analyte	1.00	0.95	160410		160000	bb		
24	24	SP118414_20131030_CYP3A4_Stab_590	T30 buspirone	Analyte	1.00	0.95	162937		163000	bb		
25	25	SP118414_20131030_CYP3A4_Stab_591	T15 buspirone	Analyte	1.00	0.95	158480		158000	bb		
26	26	SP118414_20131030_CYP3A4_Stab_592	T10 buspirone	Analyte	1.00	0.96	168881		169000	bb		
27	27	SP118414_20131030_CYP3A4_Stab_593	T5 buspirone	Analyte	1.00	0.95	150133		150000	bb		
28	28	SP118414_20131030_CYP3A4_Stab_594	T0 buspirone	Analyte	1.00	0.95	165161		165000	bb		
29	29	SP118414_20131030_CYP3A4_Stab_595	Blank buspirone	Analyte	1.00	0.95	157276		157000	bb		
30	30	SP118414_20131030_CYP3A4_Stab_596	T60 buspirone	Analyte	1.00	0.96	163438		163000	bb		
31	31	SP118414_20131030_CYP3A4_Stab_597	T30 buspirone	Analyte	1.00	0.96	162247		162000	bb		
32	32	SP118414_20131030_CYP3A4_Stab_598	T15 buspirone	Analyte	1.00	0.95	155338		155000	bb		
33	33	SP118414_20131030_CYP3A4_Stab_599	T10 buspirone	Analyte	1.00	0.95	159280		159000	bb		
34	34	SP118414_20131030_CYP3A4_Stab_600	T5 buspirone	Analyte	1.00	0.95	156453		156000	bb		
35	35	SP118414_20131030_CYP3A4_Stab_601	T0 buspirone	Analyte	1.00	0.95	172766		173000	bb		
36	36	SP118414_20131030_CYP3A4_Stab_602	Blank buspirone	Analyte	1.00	0.95	162728		163000	bb		
37	37	SP118414_20131030_CYP3A4_Stab_603	T60 buspirone	Analyte	1.00	0.95	166831		167000	bb		
38	38	SP118414_20131030_CYP3A4_Stab_604	T30 buspirone	Analyte	1.00	0.95	189789		190000	bb		
39	39	SP118414_20131030_CYP3A4_Stab_605	T15 buspirone	Analyte	1.00	0.95	171223		171000	bb		
40	40	SP118414_20131030_CYP3A4_Stab_606	T10 buspirone	Analyte	1.00	0.95	162308		162000	bb		
